Competitor,Angle Category,Hook Copy,Transcript,Visual Style,Nicho,Longevity Tier
Creamy Skincare,Pain-to-Solution,"Se poros visíveis e oleosidade te incomodam, o novo Pore Refiner foi feito para isso",Música Música Música,"Aqui está a análise:

1.  **Formato visual:** Aplicação de produto.
2.  **Iluminação:** Estúdio/Ring Light.
3.  **Foco na pele:** Textura realista.
4.  **Paleta de cores:** Clara, fresca e suave.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** O produto (Pore Refiner) e sua aplicação.",Beleza,Performer
Plato,Offer/Urgency,o conjunto bordado que não passa despercebido ✨,"Você tem noção que esse conjunto todo bordado é apenas 239? Na viscose transpirável, com o cos liso e atrás com lastex. Na primeira composição com o nude, que é minha cor favorita, eu adicionei tanto essa proposta com uma blusa e também uma segunda opção fechando a camisa pra vocês verem o quanto essa camisa é fenomenal. Isso mesmo, ela é toda bordada. Já com preta eu trouxe uma proposta lisa, mas também pra cidades que tá inverno, a gente pode adicionar um colete em pelos, que também faz parte da nossa curadoria. E pra fechar as composições, uma vibe mais dia a dia com cinto. Se você amou, clica aqui agora, que por R$ 239,00 vai esgotar em minutos.","Aqui está a análise do vídeo:

1.  **Formato visual:** Showcase de produto
2.  **Iluminacao:** Misto - Combina luz ambiente com focos de luz diretos do teto para iluminação uniforme.
3.  **Ambiente:** Interno
4.  **Paleta de cores:** Neutras e terrosas
5.  **Qualidade de producao:** Semi-profissional
6.  **Elemento principal de atencao:** A modelo e a versatilidade dos looks.",Moda,Testing
Beleza Brasileira,Benefit/Result,Pele de milhões… sem complicação ✨,Legenda Adriana Zanotto,"1.  **Formato visual:** Aplicação de produto e rotina de beleza, com estilo UGC.
2.  **Iluminação:** Predominantemente natural e orgânica, focando na luminosidade da pele.
3.  **Foco corporal:** Produto sendo aplicado no corpo (pernas, braços, costas).
4.  **Paleta de cores:** Vibrante, limpa e tons quentes.
5.  **Qualidade de produção:** Semi-profissional com alta qualidade, similar a conteúdo de influenciador.
6.  **Elemento principal de atenção:** A textura dos produtos e a pele macia e iluminada.",Beleza,Performer
Versiani Swim,Pain-to-Solution,Macaquinho Fitness com tecnologia Casual Fresh™️,"Gente, olha esse macacão aqui. E olha esse macaquinho. Tanto que veste bem, gente. Esse tecido aqui é uma poliamida. É a melhor poliamida do mundo. É um tecido de alta compressão que vai te deixar muito segura e muito confortável. Pro seu treino e pra todos os seus compromissos do dia a dia. É a mais linda do mundo essa coleção.","Aqui está a análise do vídeo:

1.  **Formato visual:** UGC talking head / showcase de produto
2.  **Iluminação:** Estúdio/Ring Light - luz suave e uniforme que elimina sombras duras.
3.  **Ambiente:** Estúdio com fundo branco liso.
4.  **Paleta de cores:** Neutros, terrosos, preto.
5.  **Qualidade de produção:** Semi-profissional.
6.  **Elemento principal de atenção:** A apresentadora, suas expressões e o macacão em exibição.",Moda,Testing
Versiani Swim,Benefit/Result,✨ Biquíni Fita VS,"De biquíni fita, eu vou tomar um solzinho, gente. Olha o tanto de cores que a gente tem. Esse aqui que eu tô usando é o verde fras. A Virginia, inclusive, já no story dela, ela tá usando esse mesmo biquíni hoje, viu? O Fita é o nosso modelo com o melhor custo-benefício. Ele não tem nenhuma amarração. Ele desenha, ele modela o corpo, gente. Toda mulher que coloca esse biquíni aqui, não tem como, é inevitável. Se sentir, tipo assim, não é mais. Todas as minhas amigas falam isso, fora que ele é o melhor biquíni da vida pra tomar sol. A gente tem várias coisas","Aqui está a análise do vídeo:

1.  **Formato visual:** UGC talking head / Product showcase
2.  **Iluminação:** Natural/Orgânico – Abundante luz do dia interna, com um breve momento sob sol direto.
3.  **Ambiente:** Interno (com um rápido corte para ambiente externo)
4.  **Paleta de cores:** Vibrante, Fresca, Limpa
5.  **Qualidade de produção:** High-quality UGC / Semi-profissional
6.  **Elemento principal de atenção:** A apresentadora e o biquíni que ela está usando/mostrando.",Moda,Testing
Insider Store,Product Experience,"Com as peças da @insiderstore você consegue compor looks super versáteis, combinando com qualquer mood","Eu não uso camisa social porque é massa demais, é difícil de passar, fica muito formal. Mulher, que conversa é essa? Isso é coisa do passado, viu? E como aqui a gente só trabalha com provas, olha a camisa social nesse look de praia. Me diga aí, se não combinou perfeito. Eu sei que você já tá olhando pra ela assim, ó, com outros olhos. Tá, mas e se eu quiser fazer uma proposta mais noite? Meu amor, fecha todos os botões, uma camisa social alongada é tudo o que você precisa. E pra uma tarde descontraída, uma amarração diferente na sua camisa, uma maxi saia branca, e você tá pronta pra qualquer ocasião. Se você quiser um look mais formal, mas com aquela pegada jovial, a gente consegue também. E além de ser linda e mega versátil, essa aqui é a camisa Future Form da Insider. Com tecnologia onde o tecido ele desamassa no próprio corpo, é super confortável e esse detalhe aqui, ele repele a água. É isso mesmo que vocês viram. A gente tá falando de Insider, né? Tá vendo aí, mulher? Eu provei ou não provei pra você a versatilidade das camisas da Insider? Então você já aproveita e usa o meu cupom PATRICIAGUERRA pra ter descontos de até 50% na Insider nesse mês de setembro, viu? Beijinhos! E aí","Aqui está a análise:

1.  **Formato visual:** Showcase de produto/styling.
2.  **Iluminação:** Mista. Luzes embutidas nas prateleiras e iluminação ambiente controlada garantem uniformidade.
3.  **Ambiente:** Interno, sala moderna e decorada.
4.  **Paleta de cores:** Neutra e sofisticada.
5.  **Qualidade de produção:** Estúdio profissional.
6.  **Elemento principal de atenção:** A modelo e as versatilidade dos looks apresentados.",Moda,Long-Runner
Plato,Lifestyle/Aspiration,saia longa acetinada com fenda que eleva qualquer produção 🤍,Can I call you Rose? Cause your thoughts won't be moving too soon Can I call you Rose? Cause your roots have the power to consume Eu quero te ver,"Aqui está a análise:

1.  **Formato visual:** Showcase de produto / Lifestyle
2.  **Iluminacao:** Natural/Orgânico. A luz solar direta e clara realça as cores e texturas.
3.  **Ambiente:** Externo (numa varanda/deck de uma casa moderna).
4.  **Paleta de cores:** Tons terrosos / Neutros / Borgonha
5.  **Qualidade de producao:** Semi-profissional
6.  **Elemento principal de atencao:** A comparação visual entre ""vestir"" e ""saber vestir"" através das duas modelos e as trocas de roupa.",Moda,Testing
Plato,Product Experience,blusa de tricot bufante que já é o look do dia 🎀,"O tricô manga bufante de apenas 149 tá de volta em uma nova paleta de cor. E bora se arrumar com cada cor. Começando pelo preto, onde eu adicionei com a nossa calça resinada no marrom. E que match, amor! Já com a nossa blusa no café, eu mudei a cor da calça pra nude. Mostrando pra vocês o quanto esse tricô fica lindo com o nosso resinado. Mas é claro que a gente não vai ficar limitado só nessa composição. E com a cinza, eu adicionei com esse conjunto de calça pantalona e blazer em alfaiataria. Agora, pra finalizar as cores, temos no azul e no violeta. Com a azul eu adicionei a nossa saia setinada que tá fazendo o maior sucesso no site. E além do violeta que clicando aqui vocês já conseguem enviar a foto. Vou finalizar com a branca onde eu adicionei com a nossa saia setinada off que tá fazendo o maior sucesso. Se você amou, clica aqui agora pra garantir que esse tricô tá esgotando em minutos.","Aqui está a análise:

1.  **Formato visual:** Showcase de produto e estilo pessoal.
2.  **Iluminação:** Misto - luzes internas de teto e ambiente, bem distribuídas e suaves.
3.  **Ambiente:** Interno (apartamento moderno e clean).
4.  **Paleta de cores:** Neutros, terrosos e tons profundos.
5.  **Qualidade de produção:** Semi-profissional (muito bem produzida).
6.  **Elemento principal de atenção:** A modelo e a demonstração das peças de roupa.",Moda,Testing
Plato,Lifestyle/Aspiration,conjunto xadrez que eleva qualquer produção 🖤,"Lançamento de três peças Calça, alfaiatari, colete e blazer E o look é esse, amor Repete comigo, chiquilão A lei Eu trouxe slick cheio do topê Derruba um jack, bola uma track Sempre existe mais dinheiro a fazer Dinheiro a fazer Sempre existe mais dinheiro a fazer","Aqui está a análise:

1.  **Formato visual:** Showcase de produto com elementos de lifestyle.
2.  **Iluminacao:** Estúdio/Ring Light. Iluminação uniforme e clara realça o produto.
3.  **Ambiente:** Interno, em um apartamento moderno.
4.  **Paleta de cores:** Neutros, Preto e Branco, Vinho.
5.  **Qualidade de producao:** Semi-profissional.
6.  **Elemento principal de atencao:** A modelo e o conjunto de alfaiataria xadrez.",Moda,Solid
Plato,Benefit/Result,saia longa acetinada com fenda que eleva qualquer produção 🤍,"Uau, que saia acetinada de lançamento é essa, amor. Esgotando em 3, 2, 1. Além dessa tonalidade, a gente tem mais 4 cores disponíveis no site, tá? Ela tem um acetinado super encorpado. Então fiquem despreocupadas que não é aquele acetinado fininho, sabe? Vai ficar marcando. Pelo contrário, olha o quanto veste super bem. Tem a finda aqui na lateral. A aplicação em renda perfeita. O cos dela tem um elástico aqui embutido, tá? que ajuda a facilitar a servir mais tamanhos. E se você amou essa peça, corre, clica aqui pra garantir antes que você fixe a sua look, os nossos lançamentos são limitados e esbota tudo muito rápido.","Aqui está a análise do vídeo:

1.  **Formato visual:** Talking head com showcase de produto.
2.  **Iluminação:** Misto - usa iluminação arquitetural de teto e spots, com preenchimento suave.
3.  **Ambiente:** Interno, em um ambiente de cozinha/sala de jantar moderno.
4.  **Paleta de cores:** Tons terrosos, marrons e neutros.
5.  **Qualidade de produção:** Semi-profissional (boa iluminação e estabilidade, mas em ambiente doméstico).
6.  **Elemento principal de atenção:** A mulher e o look marrom, especialmente a saia.",Moda,Solid
Insider Store,Benefit/Result,"A calça mais prática com @insiderstore • Comente GUIA pra receber as ideias de combinação em uma guia visual, além do link com meu cupom PAULASALVADOR","Essa aqui é a calça mais prática que você já viu e eu te conto como combinar pra várias ocasiões. E eu tava usando esse look agora antes de gravar na minha rotina com o Benito sem medo de sujar, porque ela é resistente, não desbota, desamassa no corpo e repele água. E eu tô pronta pra usar na minha rotina em look esportivo e também na próxima viagem. Percebe que ela ajuda a sair da legging sem perder o conforto? E acompanha também looks mais arrumadinhos, como uma versão mais leve no verão. Dica, se for combinar com peças como blazer e camisa, o segredo é evitar extremos Porque ela tem um visual de alfaiataria, mas com um tecido tecnológico de poliamida que tem um toque esportivo Então vale escolher uma camisa mais leve, menos séria, blazer descontraído pra equilibrar melhor as texturas Me conta em que ocasiões da sua rotina essa calça faria sentido E comenta a guia que eu te envio um guia visual com todos os looks pra você testar quando a peça chegar Além do link da Insighter com o meu cupom","Aqui está a análise:

1.  **Formato visual:** Showcase de produto e lifestyle com talking head.
2.  **Iluminação:** Natural/Orgânico. A luz é suave e uniforme, sem sombras fortes.
3.  **Ambiente:** Interno, em um ambiente de sala/quarto moderno e clean.
4.  **Paleta de cores:** Neutra, sóbria, tons terrosos.
5.  **Qualidade de produção:** Semi-profissional (alta qualidade, mas com toque de criador de conteúdo).
6.  **Elemento principal de atenção:** A apresentadora e as múltiplas opções de look da calça.",Moda,Solid
Creamy Skincare,Pain-to-Solution,"A Emulsão de Limpeza da Creamy remove impurezas e resíduos sem ressecar, mantendo a hidratação natural da pele","Se sua pele fica repuxando desse jeito depois de lavar, isso não é normal. A primeira etapa do nosso skincare é a limpeza. E se você acertar nessa etapa, 90% do resto já tá quase resolvido. Se você tem a pele seca, sensível, ela repuxa, você tem que utilizar um produto específico pro seu tipo de pele. E aí que entra a emulsão de limpeza da Creamy. Ela tem uma textura super hidratante, não vai repuxar a sua pele. Além de ter centela asiática, vitamina E, extrato de camomila, que vai acalmar a vermelidão da sua pele. Ela faz essa espuma muito hidratante. E se você utilizar ácidos na sua rotina de skincare, a emulsão de limpeza é muito importante. Porque ela já faz essa barreira hidratante Pra você suportar o uso de ácidos com mais facilidade Já vou deixar uma rotina pra pele sensível aqui pra vocês Afinal, eu ajudo vocês com tudo, né? E também vou deixar meus cupons lá na Creamy Alguém no site e depois me agradece A sua pele nunca vai ficar tão linda quanto com essa rotina Tchau",,Beleza,Solid
Plato,Product Experience,calça skinny resinada que define a silhueta com personalidade 🖤,"Aproveitando, vou tirar a jaqueta pra mostrar nada mais nada menos que a nossa calça é resinada e uma proposta, dando ênfase somente nela. Eu amo composições assim com a nossa calça, que a gente coloca só duas peças básicas, porém essa blusa também, ela fica tão linda. Ela tem o detalhe aqui das pregas na lateral, esse drapeado. Ela tem, é sombreira lindíssima, super chique. Dá pra vocês utilizarem tanto em uma proposta, mas a cara do inverno, Como esse look aqui, adicionar em um cachecol aqui, a moita pronta. Ou vocês também poderiam colocar ela em uma versão mais dia a dia, mais formal. Uma calça alfaiataria que comporta super. E olha o quanto a nossa calça veste super bem. Esse bolso, não, isso aqui, amor. Olha isso, o quanto a coça dela é bem alto, tem elastano, tá? É uma calça que vai te atender muito bem. Vai simplificar os seus looks nesse inverno.","Aqui está a análise:

1.  **Formato visual:** Showcase de produto via mirror-vlog (talking head).
2.  **Iluminação:** Misto – luzes internas direcionais no teto e luz natural difusa.
3.  **Ambiente:** Interno, sala de estar/jantar de apartamento moderno.
4.  **Paleta de cores:** Tons terrosos, marrons e neutros.
5.  **Qualidade de produção:** UGC casual (auto-filmado com celular).
6.  **Elemento principal de atenção:** A modelo e o look monocromático marrom.",Moda,Testing
Versiani Swim,Lifestyle/Aspiration,✨ Biquíni Fita VS,"Se você não gosta daquela marca no pescoço do biquíni, eu resolvi isso. Esse é o meu novo bique fita da VS reto. Sem amarração e agora sem prender no pescoço e sim reto pra valorizar ainda mais as suas costas. Agora você pode garantir o biquíni favorito das influenciadoras em uma nova versão. Eu já liberei acesso a ele, é só você clicar aqui agora nesse link.","Aqui está a análise:

1.  **Formato visual:** UGC talking head / Showcase de produto.
2.  **Iluminação:** Estúdio/Ring Light. Iluminação uniforme e suave, sem sombras fortes, sugerindo um ambiente controlado.
3.  **Ambiente:** Estúdio (parede lisa e clara).
4.  **Paleta de cores:** Minimalista (preto, tons de pele, fundo claro).
5.  **Qualidade de produção:** Semi-profissional. Imagem nítida e áudio claro.
6.  **Elemento principal de atenção:** O rosto cativante da modelo e o produto (o biquíni).",Moda,Testing
Plato,Product Experience,jeans wide leg que eleva qualquer produção ✨,"Uau, que calça wide leg jeans é essa de 239, amor, que lançamento fenomenal é esse que acabamos de receber aqui na Platô? Montei uma proposta mais aqui casual com uma blusa acetinada, que inclusive ela vai com esse lenço, tá? Mas é super opcional, aquele jeans clássico, atemporal, ele cabe em mil composições, tá? Então se você amou, clica aqui agora pra garantir, essa que eu tô utilizando é o jeans médio, tem a forma normal, tá? Eu tô utilizando aqui um 36, mas a gente tem disponível até o 44 e em mais duas lavagens pra você escolher a sua favorita. Linda! Corre, já clica aqui pra garantir.","Aqui está a análise:

1.  **Formato visual:** UGC product showcase (estilo ""mirror selfie"").
2.  **Iluminação:** Mista. Parece combinar luz natural (de uma janela, não visível) com iluminação ambiente interna (fitas de LED no teto).
3.  **Ambiente:** Interno (casa/apartamento).
4.  **Paleta de cores:** Neutra, terrosa, azul.
5.  **Qualidade de produção:** UGC casual.
6.  **Elemento principal de atenção:** A calça jeans wide-leg e o look completo da mulher.",Moda,Killed
Growth Supplements,Benefit/Result,Não corra riscos com a sua saúde e seus resultados,"Todo mundo sabe que creatina é o suplemento mais estudado do mundo e por um motivo. Ele realmente aumenta comprovadamente o seu desempenho e força. Quer entender um pouco mais sobre creatina? Pega essa aula aqui comigo. Creatina é combustível de força. Ela é quem te dá força extra para mais repetições no seu treino. A nossa creatina é 100% pura, produzida com matéria prima importada e todos os laudos de qualidade são absolutamente aprovados. Para você fazer a diferença mesmo, você precisa garantir o que funciona de verdade. Preço de fábrica, pureza, resultado no seu treino, ou seja, Growth. Clique aqui e garanta a sua creatina 100% original, 99,9% de pureza para a sua suplementação. Somos todos atletas, somos todos Growth.","Aqui está a análise:

1.  **Formato visual:** Talking head com exibição e destaque de produto.
2.  **Iluminação:** Estúdio/Ring Light, proporcionando luz frontal uniforme e brilhante.
3.  **Ambiente:** Interior de casa, sala/cozinha moderna com decoração minimalista.
4.  **Paleta de cores:** Tons terrosos (verde do apresentador), madeira clara, branco e cores vibrantes da marca nos produtos e textos.
5.  **Qualidade de produção:** Estúdio profissional, com boa cinematografia, áudio claro e gráficos bem integrados.
6.  **Elemento principal de atenção:** O apresentador carismático e as informações de texto que reforçam os benefícios.",Wellness,Solid
Plato,Benefit/Result,a jaqueta bordada que transforma qualquer produção ✨,"Que jaqueta de lançamento é essa, amor? Sabe aquela jaqueta, terceira peça, que vai compor todos os seus looks? Além dessa cor, temos disponíveis em mais um site, tá? Ela é toda bordada em uma sarja impecável. Olha esse tecido perfeito, um jeans maravilhoso. Bolso maior aqui. Além disso, olha isso, mostrando de pertinho o bordado. Lindíssima. Nas costas também ela possuía esse bordado. Porém, somente um bordado localizado, tá? Então é uma jaqueta que você vai conseguir utilizar muito nessa nova temporada. Se você amou, já clica aqui pra garantir. A calça resinada também tá liberada. A blusa também. A nossa coleção tá completa te esperando. Então já boa, tá?","Aqui está a análise:

1.  **Formato visual:** Showcase de produto com tom UGC talking head.
2.  **Iluminação:** Misto, combinando luz natural suave vinda da direita com iluminação interna embutida.
3.  **Ambiente:** Interno (residencial, sala de estar/jantar).
4.  **Paleta de cores:** Neutra, terrosa e colorida.
5.  **Qualidade de produção:** UGC casual, mas bem executada.
6.  **Elemento principal de atenção:** A mulher e o bordado colorido da jaqueta.",Moda,Testing
